n,d_i,p_i,g_h,l_h
0,0.0012124179731578693,-0.0004555998645053947,-0.0007538053038941081,-0.0017491560622318895
1,-4.301677852279391,-30.54620778951583,44.061167468084776,-41.41791989683587
2,115.87688780882988,-232.01215879819048,-158.6731685213056,-108.0709848102531
3,-1000.4814213830656,165.33850975225351,881.1938711512139,-558.3975091185254
4,-0.03336135026558347,-0.0037332774658244256,-0.028143993370137288,-0.004543258318624704
5,167.62746204709114,-158.6927854140768,-98.60540122574257,-153.9325890156511
6,16.153931124117275,5.295897405750857,-3.6319799854233437,-9.636781179986858
7,-25.275578987619745,5.058611539942776,-11.674311274581532,1.8899499509543554
8,-488.68650000949805,20.844529163938727,102.7443564420807,463.77345176388553
9,-170.28772718689925,85.40651199891823,-685.5010490954357,2183.6424630607853
10,-626.1465808854759,-608.9424679644703,20.55658292165276,-471.3777567050822
11,-6.717585913071119,-28.831636767913754,48.03400358205303,8.009509596223657
12,-79.75216085423332,53.48093880092993,44.385629532973134,10.10105903197532
13,-76.04585624860772,50.422512790224246,84.04702569081026,-29.494888963269997
14,288.2773117925983,462.9499317253354,1316.1980885543778,1488.2459043538065
15,-1.7626772165753086,-3.6617013693527194,11.624203528689646,-4.7569011459127415
16,-1074.3640814125183,-421.96770918141823,-80.61846450145579,340.5442709104204
17,-1523.4785513796783,1083.604441101144,823.0150957518835,-773.664603992399
18,8.183470107540577,-28.831692507553825,-35.48497394214234,-14.545763706044077
19,0.05722461398197065,0.02536588493724707,-0.1337297641992219,0.0723233267261668
20,-692.470230768021,624.1145714372349,262.53995172066607,35.935344950971064
21,14.54160881740889,41.60509294317674,25.630837634410188,2.620310993726295
22,-736.5827236934723,886.0689316223119,242.9061381624935,-1174.6029256609984
23,-221.18977530379254,-133.9831102518973,391.7091526899334,303.1605810806839
24,-141.4375243003641,-519.1077010785694,365.46952921336975,-69.38431361974033
25,-13.603197640484334,-0.2881773427167396,-3.2558822304963364,-9.669356635269024
26,58.069542266127975,27.029173521292726,-10.281272903853093,-24.09932873250438
27,90.91466741954278,-22.794559950763155,-29.90877785111156,-117.21314647130903
28,327.3650062271315,66.72258064464884,-379.1071571484625,-177.63143936648353
29,-207.87063521633706,244.1422416900835,190.8954660942246,214.54860627658323
30,78.98345442936652,133.502288211079,4.378265811607563,456.81542362258904
31,-5.6773306478256975,-9.429467051591532,6.237677095830829,12.847127884706637
32,-5.484886940719133,-44.04628812766011,10.847938509019022,55.17816160365296
33,-51.72000737807263,-11.179840122437861,-64.90058255920682,-83.94846727966053
34,-1036.8697191991876,-515.2553928771413,-212.3623312911178,431.74398220946637
35,-290.1806886699515,-794.4262757911159,43.10275599666373,70.4563525751416
36,288.24618617622497,474.53357657863046,136.8279173942855,-87.4934943154161
37,-127.4732272080328,-727.3090744470966,-234.05789118974215,-26.692901912950436
38,-11.064443354387688,-81.162352341872,-38.15417154786412,-85.54127875039744
39,19.212985348142375,-10.185905539360265,3.0853636324805658,12.837461654546216
40,70.78776722943847,-137.24671109403678,15.38084769945594,69.2246824104159
41,-10.183762200288342,6.017733062183787,-0.3611469894811982,1.729977737798013
42,-4.712316283859352,4.446914729311718,-0.5375215559713631,-2.7869392418694523
43,101.60996639749871,-34.017640366714915,3.168877281528466,-31.51757360139132
44,-1.5993544620970004,2.514034989295206,0.3596488025792987,0.5482236316461998
45,-51.43902227698656,326.27164199637576,253.33545134568504,-188.27406857414064
46,-1.7255702275523779,-4.198101350982941,1.3995844332990035,4.855412803833274
47,-309.45274281906825,1316.0052478031891,-332.16084900548094,1159.4655946981961
48,951.4194541564328,-144.17490779282608,-101.44050264411612,-108.57992640137283
49,-472.9534890560181,354.3301349114149,-352.0414148933239,200.56184218577113
50,2.8936208116032356,21.17603277602428,82.26980785895591,111.5954804178337
51,304.9505786980876,-502.3690483403405,56.31416438634107,-527.181265998434
52,-322.6062574732069,-77.88619535898408,423.87347091943224,-416.73496846635214
53,0.3781961466768311,-0.1898840885291728,-0.5157870684167816,1.2548034508969717
54,-5.628852975071202,-3.935367418119298,-10.751213995578917,7.311142513175909
55,35.47855070989461,11.850085270190595,56.982872200628925,-30.48652152142686
56,2244.24232817196,1961.5911904325355,1032.8142109727603,3724.5573556271065
57,-312.8169463012262,952.7600138424375,-598.3002955350396,-706.938895492608
58,-625.0492030408444,-640.2769034140905,311.5551901141734,25.033496277606474
59,559.0506507771742,-459.91634067382995,636.3031715348709,-833.4508504586058
60,-313.2577572095727,-155.7667489494722,-541.3661505273172,-337.88301000914765
61,6.183796115237365,-4.005736252551784,-7.791504767965931,8.261804383784698
62,-56.468043729979186,-36.101442841971604,-600.3278633165746,-439.62532461292176
63,-62.73716309538405,172.63053107212357,133.65215796505106,55.07007653437874
64,-2.776203360871345,-1.5209207824697626,-4.420961424221322,-2.527868717954885
65,-26.40781546634226,-25.13177946485361,-48.86880058011059,9.85342686106637
66,5.725518711674191,0.7509306705928536,0.17203619713735968,0.33329851624359874
67,12.113610670583618,21.6606843609565,33.73484708513614,-19.032566111999106
68,-0.5549440873063741,-18.093241434262207,-49.92165769760141,-16.324900888159792
69,-0.002216695688681197,-0.005153245122102211,-0.001419321956072376,-0.0033595515792312755
70,5.438370505921802,9.935473857983556,169.57244970031152,48.12304682242082
71,0.42301216118962126,-0.8383978902383409,0.025870933644282,0.31062077593749354
72,-3.01172279319355,0.5044411764213568,-0.8011327698361576,8.607318166015204
73,-1.4903613726630531,0.2349442138052537,-0.6518612489139484,0.981233149766436
74,515.7144494681409,-388.3438737123868,1349.7538440739313,525.971576521104
75,0.12008186060613035,-3.727053540952731,1.4105312683603357,-0.4597573541538694
76,-19.220513864116576,6.247840120519867,17.836159953870297,-3.384396933266691
77,-123.44967299850525,33.1702680872086,827.2433859785565,581.0516749299668
78,-1.2430246166016332,0.5579875432185574,2.4979459258694963,2.6349471163556655
79,-59.651491823886644,-3.1069770026674353,24.58793362932664,-10.93649696533612
80,-621.3364529066822,550.8303939167797,-89.35959800113311,-456.51147915410087
81,9.062950777632143,4.424172834337333,-22.673328457788834,18.766738411522866
82,-0.15113309518381168,0.5366266877269141,0.40419266411700905,-0.1448913832010203
83,-368.1563594056939,131.45391757927555,146.15150200878145,37.44316781498381
84,65.90178385343324,-16.46888869778574,-86.76201511183659,-142.0987615308624
85,-3.0131679313699116,5.404797091616147,6.240099629315619,-4.999523681777013
86,-2027.5537003110294,-2273.1197461276383,-990.1694360269485,-5794.093214910397
87,45.318647962521716,87.235978530139,-39.63688341051766,-72.96153154238226
88,-1767.5968035571166,-957.5940488202087,-460.60725907311416,1395.6069318487234
89,130.89969943461136,177.49192539367493,-171.81605207685496,41.738601163944885
90,99.46986537190575,27.999999520677076,-24.961742505461718,76.21833717561489
91,76.71147292074022,-59.5879400844864,-51.59018934064488,-63.390569220004366
92,-6.261862100834515,30.11176394979088,-17.287781119710928,-20.62215745859581
93,0.4471671020819198,0.11542422926383658,2.1150580996678223,0.9388494248349725
94,27.82810329905342,45.490170863455496,24.603248415277694,15.661415301619659
95,-1877.4596168367934,192.69255603660625,287.12162387264436,1463.2214972917425
96,-0.2716057151000665,-1.4513584829702502,0.5451578249134119,-1.1796202486693042
97,50.87563814858134,285.3115846728312,-138.48682171202304,27.7385270616876
98,23.071150815961428,25.043180332339666,-49.424756866662065,-3.7238963784387704
99,-10.48109497438692,-15.67900156076791,-5.773981365179737,-40.65332641246294
