n,d_i,p_i,g_h,l_h
0,-30.084702115112204,-5.152861567918302,22.991600084413843,31.687895845228095
1,-413.1393452291566,590.694741385739,1034.714938824739,-195.80936537234763
2,-54.569182669123016,21.687565350435612,-7.942603194616674,-5.508561428727173
3,10.627950996412267,-8.350817351586874,-1.5281098863579394,-2.344900100272361
4,20.377424952549287,31.15874591058626,-54.26616572441986,111.71931132279771
5,24.851428349555388,45.094654909721235,52.85736076236983,-83.61786743780462
6,0.8345022126284571,-0.47744972370572036,-0.23219778799599536,-0.7833866511331492
7,-2466.110340955781,-1240.4168624063818,274.0117029562229,-518.3965225122809
8,-26.272672967818693,-49.4375374171792,101.05202460095165,-7.653561721972333
9,45.517278004467975,-1.7638255234171705,-1.6467541228464948,-31.918660140619046
10,-1034.6249664430695,345.1261101079181,1225.3716663267555,-716.3186849888747
11,-93.28880627174688,3.28117307027181,-9.77625772817348,241.20531131000052
12,72.16975281890697,339.87689573211406,794.6486547933797,-321.3568698886836
13,124.12409777757598,-141.44140719592087,363.6175645037395,-372.4473173560166
14,31.588265481033947,387.1730220143388,238.93993920427027,247.1335081084957
15,0.12594759992042953,-0.12116735732198004,-1.632608473300934e-05,-0.16591245735563884
16,-1968.7275459475634,-2796.654974092313,-326.44889406653925,2110.033529328137
17,502.0831524608581,353.4766335836271,-193.6281474974097,461.77714166408634
18,-525.9591173650134,-54.06778288609415,581.4574370698336,-90.29407657435242
19,-55.83278273910708,10.654795736316743,208.1691251311118,-73.64827096504652
20,94.72204714585821,158.94264962461142,457.4666864885508,113.34260409123002
21,47.39242500599807,-88.88458219000964,-53.41121578991898,101.07810356946496
22,13.54852098935261,-35.9358291319473,-24.509538897536544,-24.806139885288914
23,-277.0520110527135,-123.55852206230043,-45.65344851292155,-189.55714630950038
24,0.007635785391690527,-0.003437358511202946,-0.026759642364203598,0.033310418969353404
25,230.35237925215537,626.3966090408069,793.0427530150954,-451.86164309602464
26,-0.00039759945961621054,0.0001964843987934959,-8.219435031103016e-05,-0.00012036895623030033
27,36.74990064632602,2.817264483953879,22.65437152424479,80.75065118122876
28,319.6096509011326,358.51319418525003,-134.58088096908133,-601.125256110755
29,-763.7221047217982,372.0402988862782,878.4778119887943,-646.5918720809148
30,-3.9691877643449036,1.6620076202022713,2.8431803818973824,2.1483125371813045
31,-8.842150731994066,-4.717252698294181,-1.8602530112695264,-5.174652254859022
32,36.32993940454794,22.70578755184675,-3.11151456718458,22.872378788843022
33,0.5789041952816846,-18.412049837137868,1.5202212604879575,43.39144387832896
34,1224.3675533155115,-526.8096041408012,-539.3918547518854,1656.3297732535416
35,-10.853998177662127,-19.451321536115735,4.352961181746266,12.181444633116083
36,-1.095290735278941,-2.2644364227626803,-2.6635196778076304,2.6377477865646393
37,1.3781080948628062,-7.65270939493567,-17.058953544957852,-0.3565616095211448
38,-4.203492001317144,5.806537227727422,2.234815043451196,8.674516655355132
39,-48.938937952847986,-14.419672269646714,25.341625370145813,4.828403833193508
40,25.87116198629383,-30.060654191224554,-21.227996490835174,-20.25657658436434
41,-1.4686643820770873,353.0745792658924,-395.95057028441545,-144.77714787519582
42,-181.28778583247487,343.4415331584651,-24.70062996313824,258.9539733824691
43,165.35641653895485,50.87159629592225,-90.23040422095399,-266.073460568195
44,-777.3426954377958,-123.07182355818709,-452.31629422815837,-346.66549850479373
45,65.25331491280377,-62.31818325169445,24.807913484490985,-120.95689497318695
46,545.9246738608775,-2300.466211423823,-290.5726477283288,-151.95049493847134
47,12.490397557979676,6.566934725133384,-10.539369280745344,11.221683571978312
48,27.885365464823032,30.54763070548453,73.97190281433788,-20.318144930087453
49,0.7120857616750206,0.7687163774560137,-0.4518292986038255,0.9975124025732521
50,338.37153848327176,89.1010844125032,-809.1430147145754,409.4127474500025
51,3.075538270044053,-2.363157865910819,4.043940284015632,-6.402236007658023
52,-101.1921327172256,-62.26026580004188,-9.844611803690592,54.82743373343615
53,842.8645180492866,105.13958164928405,-567.2545982764019,-629.7451566448057
54,0.6238070749450566,15.937346714987926,-31.819306663699386,-11.740187874238
55,-2.5931805547069366,30.79351225480195,-2.3669538832595194,10.803259854863693
56,-958.9779271846865,162.96956283677883,914.5482815610684,-376.4788237606607
57,-78.81096280868945,118.2173416740526,46.534443326839586,320.5010779330401
58,153.65219625612585,84.81219178874318,79.84371408602087,146.73497957524245
59,22.842056953849678,-79.2264657519948,18.674806139460937,-17.297397328088746
60,0.07411237289689905,0.6242898713524748,-0.24746544701539405,-0.6546982337788838
61,-888.3902967189385,-764.6975558521302,-7545.048459308903,-6222.186509543318
62,-2468.8028192907814,-5325.674382031449,1348.623385855822,2652.079280015899
63,3106.108118576732,-1755.0481549200972,-2064.7284720816265,-4497.636086471682
64,0.08499272678963597,-0.07239085681498722,0.12898273122656856,-0.16656983843001316
65,-1651.2522830162197,-2126.575136317122,1347.6193654530055,-1900.3202436090546
66,12.826655793363823,-7.10741660694304,-13.230291405755,-11.08904064594394
67,173.91893356891322,-241.62536364609738,-179.78620969033534,85.64578355937624
68,230.7092810509877,-49.724493398634685,-7.442431466019811,187.6112770085418
69,32.63658637306071,128.23675500711084,-11.24469909726087,-61.66822936862013
70,-394.4563723676573,518.1839605967203,-1136.2299213254355,-1039.3623666065496
71,210.94097254925381,-64.7655891833839,-62.62483029669377,-80.96753057435768
72,-217.4606199894494,-137.48677010652494,7.230626957869626,-249.07522115499023
73,-4.966761958217475,4.8125191088614425,0.13439513843911663,-8.181089707610493
74,-218.90699842499524,-66.20657795231517,73.3712755373823,-181.90343214825887
75,533.1460690614654,135.23055280175635,163.43497401718201,-443.5733348489777
76,-16.114167988784914,-1.3455657115796718,-7.736313809224261,-8.180589041695363
77,-4.802265453629378,-8.265406353686883,11.890102483392731,7.456589195786453
78,1078.1763162564455,-67.1089680471677,410.3838265654517,-305.42449605392244
79,2.8919699794832403,-2.3565617120674265,-0.26459978853108623,-2.777880668214937
80,816.2451016728471,-204.54673159219385,751.5194704629541,-123.14767077686341
81,-0.004771339075783707,0.016584593498401676,0.019239694486765904,0.01793083193999662
82,-87.99505270205862,40.65789987982773,-194.93345828172636,-164.24691277790845
83,2.5803565092203096,-0.997439622636733,-2.1559181829414715,-2.552487021539269
84,-75.3789657560003,125.46186141548603,-29.76187925769122,35.555025800339486
85,46.826527546091775,90.42183743647443,-24.329381220709017,-52.4541974324521
86,21.63476653409198,-20.939307705173647,-27.573754678896773,-30.53562398848495
87,29.610554904472536,-25.436134446927202,94.24308296141585,-21.840620568128138
88,-24.77134742387911,14.760373451118546,-33.36938927813274,48.16374645775896
89,15.105029886755032,33.720990894922636,-97.33149541938693,69.83171200479676
90,-235.03358047749333,413.8972875393503,277.8652427758628,-740.3072772685106
91,-101.54467169523808,-814.6590966953609,-6.368793873715428,624.3881990157921
