n,d_i,p_i,g_h,l_h
0,1425.4048251016086,1725.7726271415997,-2295.827111076658,-1423.11807902995
1,-238.8213610922919,-295.9631710988586,15.76262087088529,-22.265278858441324
2,49.220015592933386,-60.74840726407975,-9.221496362065958,25.671565985293224
3,-1.936225316804447,-4.523454344555223,4.908305982803695,4.597671762314238
4,-6.059339074639613,-14.305352648205984,-3.3200111002264627,-13.94614420873003
5,-2.8613193086865136,7.36139369998703,50.592598099688715,14.534544440403245
6,1.3788889894638119,-7.430550364350284,18.167231306292347,-24.154506822112005
7,-5.238175975454808,-4.035044455992788,-2.1280311209255656,2.543589739807606
8,11.17470774097797,-5.944942381498234,16.229143665023834,-1.3995141597861942
9,-0.33684261648051717,-0.3378614802140164,0.3624721369522763,1.546888477534973
10,8.442415839187351,-18.88213321906484,14.468049200968924,-3.386256204993522
11,-44.67515095498789,25.31697229819163,1.4413271001250128,-12.078036400767505
12,-32.3434860219935,-72.26389936148139,136.64592503170158,-16.063231549266415
13,0.975919532216952,-1.564645623928236,-1.5150118716375778,-1.2304747589932503
14,13.662380360498886,7.649803610810571,9.475353565912377,-14.927988470837997
15,0.46729748039217467,2.148585603759693,-2.5425300039261334,-2.756989498841691
16,1.1609854082278683,-11.92297899841585,0.6936711981407925,-6.609822045357027
17,0.4459927376668872,1.0215345389174448,-0.6843327761623396,0.5074081771875268
18,-960.9706261157136,-125.78076843504508,1103.3008943446296,-23.102050925035005
19,962.5948837923517,224.47138779930225,97.75129750445728,-253.26606424281715
20,2.6013035278388563,-0.27125997269288493,0.2822908746074314,-0.6660133822789363
21,374.88104477693287,662.5392546182713,-108.44306399046565,-1741.2069984878399
22,-0.5715192875524205,1.5836175921651066,7.743504895767998,-5.334401162590567
23,-9.015668988972502,19.665279814629812,-9.869751509425678,-5.853257542939386
24,-0.6824318851819615,5.837012498226862,-4.922623284731751,-2.7309265612019926
25,-5.678864918483865,-1.5537441559322578,28.28655685772406,-98.29364374363175
26,-12.600447828391781,10.727101914461304,3.1341755906274607,3.598835348231717
27,0.43314264384588347,-20.091727375552196,20.188428097091876,34.404070867162865
28,-9.539796829223633,2.370574712753296,13.488161087036133,7.385746002197266
29,-127.8368342412141,68.23492484254417,16.848341863038407,-156.73072871745018
30,-17.560767732907227,-18.932074842881747,-11.4884331039898,-13.368644260237058
31,-68.92966346601473,-35.78252260905792,-24.938017730580754,23.831481583494025
32,0.9160689773306693,-2.493930598513577,-1.8883571485694133,4.170584226348461
33,1.717365065523548,-1.2414290568939328,3.8275872683545886,-2.124377321220905
34,-5764.866505086977,1922.0525107878655,4098.213919858721,-3113.8172832699274
35,-2.7305479763061045,17.039118146589164,15.429399721095113,-4.560624038481934
36,-1.6963086001376328,-0.6416395078753184,0.2973273730738143,0.06401192657018379
37,0.6985347878197526,0.22073474156289494,0.7373270485631336,1.3822050003783497
38,15.280231610313859,-21.01833582129236,-22.081489268421016,-50.706525672053814
39,-16.5628604888916,69.93790435791016,-28.797847747802734,-5.348352909088135
40,2252.487076160057,-3211.260500541825,2266.316361170416,2474.572101331033
41,1.542680772185411,0.10322004452923748,-0.017421947862838284,-0.14570327013739004
42,-11.162455134333758,30.194894454098634,67.75951161312904,-31.12515353132506
43,-432.63632194801914,257.2318120373221,519.3319960788875,280.5955609623138
44,-28.177255892634136,-7.98320609500729,-10.207068014417962,2.357068587134545
45,-7.03902175141374,12.511154487652117,3.698704877599333,6.7347104010858425
46,31.689360490934117,-57.82988674673082,-45.92717943237608,111.90208623694281
47,-34.16549442133566,14.944943989867728,-37.88112254889846,-73.54745173403086
48,74.1616430133782,58.972777759256395,-12.481631920182283,-25.692350873835668
49,1916.5700836666329,9500.90882438272,-3506.3199302247363,3329.26768049378
50,48.824699894636446,-53.52648220458198,144.22131589411325,-76.2032614491544
51,-2.3227138627333024,-0.8292902978818325,-1.146957303102517,-0.2945860508400371
52,-321.7181117678513,166.78608086798914,499.4012983827512,-1000.1437630872882
53,-1016.1946210951871,3422.6578869126743,-10992.543844328835,-5358.712650316139
54,-19.202620333782185,2.276786911972554,4.75491946943232,5.912802558166482
55,-2.0961671894417546,12.7899567713973,-14.486962394622196,-9.544710548417262
56,-306.3637738838824,-305.1112982791581,437.53937979980117,-263.6164742526448
57,13.031713619327995,-6.146407968532318,-4.281153279362681,14.012104170221368
58,-23.28323664081549,20.893839959681845,5.081789120146438,3.3075491946854587
59,57.786321099136316,107.17113493805184,59.09949437301334,109.49647324352387
60,2.273063730092822,2.5836778958878064,-0.213325977481521,1.6944494795075198
61,22.05926318585062,-25.818689448370964,67.02475753475618,-4.248728998376553
62,1.256292960562516,-6.051130170654572,-4.9945388895525475,2.610770030889151
63,-21.587182119467382,15.350924761894705,-4.77465959477559,-3.832384987464803
64,29.707776275804065,135.81845836325382,-50.39027313445411,11.065399879428345
65,3.948391052169636,-13.854402819273723,-11.99901449193934,59.57018700000979
66,-2.3808829695714335,-0.8653461560753621,0.4937847321566378,-0.8217371482650083
67,0.0008287155634925102,-0.00014122351872229813,-7.180201861540437e-05,-0.000766247060123575
68,11.103987693786621,-17.40599250793457,1.885420322418213,8.011979103088379
69,-0.10018760863925295,-0.37894797033041816,0.11584411386249983,0.8519316619422848
70,-2.0725107192993164,16.609569549560547,163.26943969726562,131.0411376953125
71,-56.197944279348754,-0.12306795554913975,-155.50140050532846,-140.2307950260785
72,-2.996145504726422,-4.675922450524183,-0.722716830226441,1.0696627352172319
73,-1.714793784992503,-1.241002598603443,1.1851833541291494,-0.445528832224773
74,0.6035043152213182,10.020365742333206,17.496066479829693,0.20946350315573734
75,-42.51434390068737,-61.28388892128029,20.933624618464737,-21.000342554592113
76,57.7750763179749,-50.0564901847539,82.3584767439234,-0.9941465131879792
77,0.0075308453682120125,0.013465476932637983,0.001310689196774398,0.004687326787643282
78,0.727043454753303,-1.9657394605220089,-3.927622775350542,5.803393807659511
79,0.6792413592338562,2.212519884109497,-0.1483200341463089,-3.371732473373413
80,-0.5108710318995785,-3.353463470722491,2.6551559855514815,-3.8447491055142478
81,405.9815729808918,3933.0601429809567,-1911.0086165631594,1907.0535984124851
82,25.991183871889998,-38.85201795157059,-14.561538056083124,-15.5293501929014
83,17.464646342032808,-3.704530412974633,3.708700441728521,-21.887408496347657
84,-94.19287171151353,-448.07598554738183,-170.16436610293542,51.07128619123717
85,-0.020887617590125855,-0.0035783135908493825,-0.021057770695835993,0.008193039319768973
86,-36.036455953193716,48.753486162639554,145.4427083611659,146.39662320199093
87,-0.6379074253184671,-41.4971324975593,-9.897180342076087,-25.041590801001686
88,2.682497299306292,-4.462510823179503,1.8482844228392938,0.09465513370381821
89,3.444871419516733,-14.544256770278013,0.7859717494539474,3.7150670570310047
90,-748.75035964643,-514.681711258548,640.512166975594,415.14375229780717
91,-25.62589341818049,62.87880979199429,7.738654938243122,-12.454427291937145
92,23.01506070530278,184.51153299581517,163.6845828529418,217.0715241340031
93,-15.24641151514915,-5.2111632087530095,-9.637793309603929,8.075789123965823
94,0.03666706352624489,-0.15586120692820407,-0.00026633119236100556,0.042396261666934075
95,0.044361136972545866,-0.14792604034165355,-0.02964598584425879,-0.15255603175007704
96,276.39509883601005,2388.3909250533206,-4540.920167242907,4766.348687473927
97,-0.3055334472622117,-0.0029601975003792054,0.0122452279987479,0.7850882317564192
98,13.27372881183474,19.94170133868711,-1.6539146281517483,-13.101583610422797
99,-3.7433332033808333,0.20058571543551618,-1.6218746107503033,-1.3266080269490241
