n,d_i,p_i,g_h,l_h
0,399.23560399872264,-19.011462499080093,628.8274523584466,1061.8169313458163
1,-119.3170488978687,-98.47687502511951,301.1365109185853,9.877069808649674
2,72.99795057544814,115.97766761378381,-165.83628476450318,301.60758677702484
3,-2.2530679023096794e-06,-3.915736196129154e-05,5.869617724561959e-05,-4.190600158322383e-05
4,3.3507501293117183,-0.46354811559130815,19.80885276464595,4.908435426137257
5,-6.550970331983164,-3.48693406652747,4.511747810445047,0.3625084952148894
6,2.721832098287829,4.2163353824729555,1.618084265284561,3.9508295971811105
7,428.61951881490256,354.8143133161741,-460.5817018598318,299.85740475648896
8,0.0003623428426428952,-0.0007097569899187918,-0.00026748340262732867,-0.0009417067856737301
9,-523.1588643954701,2454.371306387431,2928.3464190469404,-1295.7435740603214
10,582.3538627989554,285.7377310939953,-843.7255040949041,659.8128702629126
11,-0.4015200182296443,0.1824356589608928,-0.0287205953770384,0.021889188411560925
12,-38.73932178055591,4.709464550373684,-137.24384012699247,-80.03218713177799
13,-792.9612786379157,87.36248059652782,892.8984336653394,-294.2406363068015
14,-4.516272034201967,34.445473355575324,-17.70286826795172,-38.50523961595656
15,-104.0399903581549,-37.992268892234435,46.447947943774324,-73.34480656565387
16,-0.6522397227911859,158.18882470169686,34.32696138451368,-100.30604043187253
17,174.5177696354135,-273.8530364371567,-66.93924298746303,108.41914974221531
18,48.58676268666555,56.89492543234209,-29.96268052490134,80.55905277734738
19,13.315238654768413,16.380391688877047,-0.2269086235679929,4.066313250075427
20,-0.0017874059403070032,-0.006641026109836445,-0.001839117963373919,-0.006579291125807942
21,-0.13445672416016816,-0.024831838170556647,0.08131702232695938,0.06685348027207527
22,1.3007384859882174,-8.724624642854565,6.7746638597188396,-10.095278205422536
23,-8.26173046734364,-97.23943644280047,-53.78717387511161,-34.27577237997885
24,27.41214144541815,83.89768117280347,-87.42796211538203,108.35738007938177
25,799.4325251419579,-453.45896782943504,-312.9144561073997,553.0027313597465
26,-147.42394195372822,-132.16382325230987,-16.74760446903122,-147.858536341146
27,-405.2112135134245,-191.699692202527,120.64583761540896,226.2667036102149
28,-22.177758819178532,-44.37267660296134,27.998423352766267,-9.75156208430751
29,1783.4952529104132,-437.6012733381901,2190.6736456035997,-3476.0797617059006
30,174.39408454997687,119.32812813951068,-106.37994387446408,-30.190254890462427
31,14.635094603995958,-3.828056260159141,-11.578161813710866,15.254328659276643
32,-150.19610863096977,-204.00070251574357,-51.97666935715379,136.53431893079474
33,-3.4964727180426203,-27.10524645262358,-13.21195469204889,14.75101216558064
34,-0.025119415753474792,-0.0010246363465839794,-0.03583134683244527,-0.05001545022457613
35,5.518600746846655,13.31384184336263,65.74453656525132,55.15688175333744
36,1.897982901933661,1.0787185062632036,0.951456207122529,-2.1414937505311373
37,-26.215568906553166,32.39047629960423,-3.11692655905355,31.0605892515405
38,8.23646224290954,34.841015012079794,-35.607895486544955,-66.03292984782293
39,-161.63259332936283,149.87460701623107,48.954524854822644,85.20770232092214
40,-0.12800358398037665,0.28480678810136456,-0.12167429725269667,0.2429867543850504
41,-0.5255266507223034,6.3574595345300065,-2.783654288892327,-15.906720204908249
42,2.130407088392983,-1.6498358206562787,-3.0981524233189948,-4.578412004452395
43,19.886921108339394,35.151040165047895,-35.764359750245745,12.005607100123424
44,-84.31316114866517,62.69904550991765,4.190736143145728,26.208126338294587
45,-158.8999016136644,170.8674506958592,-201.04540971819864,-147.06027813049025
46,-3.412383389565648,-5.141365092942874,-2.6362490124697464,0.8114974697044735
47,-94.47262925458581,34.4227095136517,75.61963576991022,-113.1999043257613
48,-108.67821754498702,-83.16383878640661,3.234167302652132,51.60117946109939
49,-0.5599067283072398,-0.357519274804759,-0.0335926347209974,-0.6851947698586188
50,-887.7214696464356,-1533.7291789990293,22.49234616014946,635.0460929323041
51,-24.522499410757153,-6.226337942763806,23.34348365262837,40.09061101297938
52,331.12579827495455,-221.63097804185875,-562.3903808928848,480.2723087781069
53,1.3367365175171901,-0.23153951025621422,6.57058686905643,1.9156943939661866
54,0.1366782858611294,0.13544851188596926,0.03873112095011906,-0.06841783066008365
55,0.49812531894580886,2.786212157567241,0.062349223214843305,-1.382307338227549
56,0.38069712007539425,0.3912743218053042,0.07619796534752683,0.41222556950236194
